,Name,Year,Min,Genre,Rate,Votes,Cast
189, Неукротимые сердца ,2000,116,"Drama, Romance, Western",5.8,14964, Billy Bob Thornton 
190, Оливер Твист ,1948,116,Drama,7.8,12440, David Lean 
191, Посредник ,1971,116,"Drama, Romance",7.2,5769, Joseph Losey 
192, Куда боятся ступить ангелы ,1991,116,"Drama, Romance",6.3,2276, Charles Sturridge 
193, Justine ,1969,116,"Drama, Mystery, Romance",5.5,493," George Cukor, Joseph Strick "
194, Бесы ,1988,116,Drama,6.3,605, Andrzej Wajda 
195, The Diary of a Nobody ,2007,116,Comedy,7.3,76, Susanna White 
196, Завтрак у Тиффани ,1961,115,"Comedy, Drama, Romance",7.6,177762, Blake Edwards 
197, Обед нагишом ,1991,115,Drama,6.9,51255, David Cronenberg 
198, Любовник ,1992,115,"Biography, Drama, Romance",6.8,21214, Jean-Jacques Annaud 
199," Я, робот ",2004,115,"Action, Mystery, Sci-Fi",7.1,531326, Alex Proyas 
200, Долгое жаркое лето ,1958,115,Drama,7.3,10933, Martin Ritt 
201, Собор Парижской Богоматери ,1956,115,"Drama, History, Horror",6.6,2735, Jean Delannoy 
202, Жёлтые обои ,2012,115,Thriller,6.3,1933, Logan Thomas 
203, To the Lighthouse ,1983,115,Drama,6.2,220, Colin Gregg 
204, Пари ,1995,115,"Drama, Romance",6.6,868, Dariush Mehrjui 
205, Глубокий сон ,1946,114,"Crime, Film-Noir, Mystery",7.9,84841, Howard Hawks 
206, Саймон Бирч ,1998,114,"Comedy, Drama, Family",6.8,21316, Mark Steven Johnson 
207, Возрождение ,1997,114,"Biography, Drama, History",7.0,2401, Gillies MacKinnon 
208, Мадам Бовари ,1949,114,"Drama, Romance",7.0,2629, Vincente Minnelli 
209, The Magician of Lublin ,1979,114,Drama,5.8,159, Menahem Golan 
210, Ласарильо из Тормеса ,1959,114,"Comedy, Drama",6.2,167, César Fernández Ardavín 
211, 1984 ,1984,113,"Drama, Sci-Fi",7.1,71759, Michael Radford 
212, Почтальон всегда звонит дважды ,1946,113,"Crime, Drama, Film-Noir",7.4,20630, Tay Garnett 
213, Их глаза видели Бога ,2005,113,"Drama, Romance",6.4,2885, Darnell Martin 
214, Пробуждение желаний ,1989,113,"Action, Drama, Romance",6.2,1498, Ken Russell 
215, Ким ,1950,113,"Adventure, Drama, Family",6.5,2041, Victor Saville 
216, Элементарные частицы ,2006,113,"Drama, Romance",6.6,8097, Oskar Roehler 
217, Сага о Форсайтах ,1949,113,"Drama, Romance",6.6,1350, Compton Bennett 
218, Красное и черное ,1954,113,"Drama, Romance",6.7,634, Claude Autant-Lara 
219, Последний из могикан ,1992,112,"Action, Adventure, Drama",7.7,166559, Michael Mann 
220, Мэнсфилд Парк ,1999,112,"Comedy, Drama, Romance",7.0,23876, Patricia Rozema 
221, Долгое прощание ,1973,112,"Comedy, Crime, Drama",7.5,30862, Robert Altman 
222," Шпион, пришедший с холода ",1965,112,"Drama, Thriller",7.6,17023, Martin Ritt 
223, Под вулканом ,1984,112,Drama,6.9,5544, John Huston 
224, Голод ,1966,112,Drama,7.8,3114, Henning Carlsen 
225, A Soldier's Sweetheart ,1998,112,"Drama, War",6.1,638, Thomas Michael Donnelly 
226, Жервеза ,1956,112,Drama,7.4,1469, René Clément 
227, Кес ,1969,111,"Drama, Family",7.9,20720, Ken Loach 
228, Корабельные новости ,2001,111,Drama,6.7,32949, Lasse Hallström 
229, Половина желтого солнца ,2013,111,"Drama, Romance",6.0,1986, Biyi Bandele 
230, Часы ,2002,110,"Drama, Romance",7.5,130884, Stephen Daldry 
231, Портрет Дориана Грея ,1945,110,"Drama, Fantasy, Horror",7.5,13088, Albert Lewin 
232, Завтрак для чемпионов ,1999,110,Comedy,4.5,7964, Alan Rudolph 
233, Шум и ярость ,1959,110,Drama,6.2,893, Martin Ritt 
234, Murasaki Shikibu: Genji monogatari ,1987,110,"Animation, Drama, History",6.6,230, Gisaburô Sugii 
235, Убийца внутри меня ,2010,109,"Crime, Drama, Thriller",6.1,34242, Michael Winterbottom 
236, Женщина в белом ,1948,109,"Drama, Mystery, Romance",6.6,1560, Peter Godfrey 
237, Побудь в моей шкуре ,2013,108,"Drama, Horror, Mystery",6.3,140778, Jonathan Glazer 
238, Американская пастораль ,2016,108,"Crime, Drama",6.1,16674, Ewan McGregor 
239, Предчувствие конца ,2017,108,"Drama, Mystery",6.3,6726, Ritesh Batra 
240, Приключения Гекльберри Финна ,1993,108,"Adventure, Comedy, Drama",6.2,8565, Stephen Sommers 
241, Абсолютные новички ,1986,108,"Drama, Musical, Romance",5.6,3411, Julien Temple 
242, Я не боюсь ,2003,108,"Crime, Drama, Mystery",7.4,15007, Gabriele Salvatores 
243, Французская сюита ,2014,107,"Drama, Romance, Thriller",7.0,26183, Saul Dibb 
244, Шёлк ,2007,107,"Drama, Romance",5.8,11381, François Girard 
245, Страх и трепет ,2003,107,"Comedy, Drama",7.0,4529, Alain Corneau 
246, Похищенный ,1971,107,"Adventure, Drama",6.2,1373, Delbert Mann 
247, Степной волк ,1974,107,Drama,6.1,1199, Fred Haines 
248, Gruppenbild mit Dame ,1977,107,"Drama, History, Romance",5.7,355, Aleksandar Petrovic 
249, Markens grøde ,1921,107,Drama,6.5,236, Gunnar Sommerfeldt 
250, Три мушкетера ,1973,106,"Action, Adventure",7.1,18051, Richard Lester 
251, Запятнанная репутация ,2003,106,"Drama, Romance, Thriller",6.2,30903, Robert Benton 
252, Свет вокруг ,2005,106,"Comedy, Drama",7.4,58321, Liev Schreiber 
253, Билли Батгейт ,1991,106,"Crime, Drama, Thriller",5.9,12003, Robert Benton 
254, Она ,1965,106,"Adventure, Fantasy",5.8,3262, Robert Day 
255, Онегин ,1999,106,"Drama, Romance",6.8,7898, Martha Fiennes 
256, О мышах и людях ,1939,106,"Adventure, Drama",7.9,6031, Lewis Milestone 
257, Мудрая кровь ,1979,106,"Comedy, Drama",6.9,5841, John Huston 
258, Поруганная честь Катарины Блюм ,1975,106,"Crime, Drama",7.3,4414," Volker Schlöndorff, Margarethe von Trotta "
259, Любовь и мрак ,1994,105,"Drama, Romance, Thriller",5.0,2171, Betty Kaplan 
260, История 'О' ,1975,105,Drama,5.2,6331, Just Jaeckin 
261, Как вода для шоколада ,1992,105,"Drama, Romance",7.1,17873, Alfonso Arau 
